emp_id,dept_id,salary,ssn,street,city,state,zip_code,join_date,dob,first_name,last_name,primary_email,secondary_email,gender,phone
1,6,79107.57,7185690446,5863 Fallview Pass,Brooklyn,New York,11220,08/31/2016,02/04/1992,Inger,Gissop,igissop0@state.tx.us,igissop0@accuweather.com,Female,850-498-6398
2,5,79408.52,7048958531,895 Fallview Trail,Charlotte,North Carolina,28235,09/22/2019,10/13/1995,Myrle,Boules,mboules1@cdbaby.com,mboules1@digg.com,Female,918-643-3276
3,8,63037.88,2347472000,90 Hoard Crossing,Akron,Ohio,44393,03/25/2022,08/07/1980,Piper,Broxup,pbroxup2@nih.gov,pbroxup2@last.fm,Non-binary,206-926-6002
4,4,49734.44,6125871437,6 Dakota Court,Minneapolis,Minnesota,55470,01/21/2021,02/28/1962,Gay,Oleszkiewicz,goleszkiewicz3@desdev.cn,,Male,304-923-1118
5,5,46171.52,9172909050,29 Anzinger Hill,Bronx,New York,10464,03/11/2021,10/22/1997,Gianina,Skitterel,gskitterel4@seesaa.net,gskitterel4@wisc.edu,Female,605-236-1810
6,6,23747.31,4192418917,12 Loeprich Court,Toledo,Ohio,43615,11/07/2020,03/20/2000,Leona,Luna,lluna5@mlb.com,lluna5@360.cn,Female,651-844-0260
7,4,68544.84,6464344302,698 Lawn Street,Brooklyn,New York,11215,03/24/2021,12/26/1956,Kristoforo,Muldoon,kmuldoon6@geocities.com,kmuldoon6@purevolume.com,Male,601-917-2418
8,3,42668.66,5015899426,783 Paget Center,Little Rock,Arkansas,72204,03/01/2018,08/09/1956,Heinrik,Brookbank,hbrookbank7@dot.gov,,Male,520-193-0604
9,4,57427.81,8058855618,19352 Havey Alley,Santa Barbara,California,93106,11/08/2015,07/24/1984,Barnebas,Vaughten,bvaughten8@usnews.com,bvaughten8@ameblo.jp,Male,702-650-8287
10,5,71333.35,6163455172,911 Monument Center,Grand Rapids,Michigan,49544,01/23/2019,06/07/1998,Lorna,Isac,lisac9@wikispaces.com,lisac9@amazon.co.jp,Female,919-494-0409
